Type,ID,Dir,ANode,BNode,Floor,Right,Grade,StartTime,EndTime,Gridw
0,107,0,119,106,1.000000,0,1.000000,1876880,0,0.250000
2,108,0,53,0,1.000000,0,1.000000,1876880,0,0.250000
2,109,0,38,0,1.000000,0,1.000000,1876880,0,0.250000
0,110,0,122,109,1.000000,0,1.000000,1876880,0,0.250000
2,111,0,54,0,1.000000,0,1.000000,1876880,0,0.250000
2,112,0,39,0,1.000000,0,1.000000,1876880,0,0.250000
0,113,0,125,112,1.000000,0,1.000000,1876880,0,0.250000
2,114,0,55,0,1.000000,0,1.000000,1876880,0,0.250000
2,116,0,56,0,1.000000,0,1.000000,1876880,0,0.250000
2,117,0,43,0,1.000000,0,1.000000,1876880,0,0.250000
0,118,0,128,117,1.000000,0,1.000000,1876880,0,0.250000
2,119,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,120,0,137,119,1.000000,0,1.000000,1876880,0,0.250000
0,121,0,105,119,1.000000,0,1.000000,1876880,0,0.250000
2,122,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,123,0,119,122,1.000000,0,1.000000,1876880,0,0.250000
0,124,0,108,122,1.000000,0,1.000000,1876880,0,0.250000
2,125,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,126,0,122,125,1.000000,0,1.000000,1876880,0,0.250000
0,127,0,111,125,1.000000,0,1.000000,1876880,0,0.250000
2,128,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,129,0,143,128,1.000000,0,1.000000,1876880,0,0.250000
0,130,0,116,128,1.000000,0,1.000000,1876880,0,0.250000
2,131,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,132,0,152,131,1.000000,0,1.000000,1876880,0,0.250000
0,133,0,87,131,1.000000,0,1.000000,1876880,0,0.250000
2,134,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,135,0,155,134,1.000000,0,1.000000,1876880,0,0.250000
0,136,0,81,134,1.000000,0,1.000000,1876880,0,0.250000
2,137,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,138,0,102,137,1.000000,0,1.000000,1876880,0,0.250000
2,140,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,141,0,96,140,1.000000,0,1.000000,1876880,0,0.250000
0,142,0,125,140,1.000000,0,1.000000,1876880,0,0.250000
2,143,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,144,0,114,143,1.000000,0,1.000000,1876880,0,0.250000
0,145,0,140,143,1.000000,0,1.000000,1876880,0,0.250000
0,15,0,146,69,1.000000,0,1.000000,1876880,0,0.250000
2,146,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,147,0,90,146,1.000000,0,1.000000,1876880,0,0.250000
2,149,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,150,0,92,149,1.000000,0,1.000000,1876880,0,0.250000
0,151,0,128,149,1.000000,0,1.000000,1876880,0,0.250000
2,152,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,153,0,85,152,1.000000,0,1.000000,1876880,0,0.250000
0,154,0,134,152,1.000000,0,1.000000,1876880,0,0.250000
2,155,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
0,156,0,83,155,1.000000,0,1.000000,1876880,0,0.250000
0,157,0,78,155,1.000000,0,1.000000,1876880,0,0.250000
2,158,0,50,0,1.000000,0,1.000000,1876880,0,0.250000
2,159,0,49,0,1.000000,0,1.000000,1876880,0,0.250000
0,160,0,158,159,1.000000,0,1.000000,1876880,0,0.250000
2,161,0,53,0,1.000000,0,1.000000,1876880,0,0.250000
2,162,0,52,0,1.000000,0,1.000000,1876880,0,0.250000
0,163,0,161,162,1.000000,0,1.000000,1876880,0,0.250000
2,164,0,35,0,1.000000,0,1.000000,1876880,0,0.250000
2,165,0,34,0,1.000000,0,1.000000,1876880,0,0.250000
0,166,0,164,165,1.000000,0,1.000000,1876880,0,0.250000
2,167,0,38,0,1.000000,0,1.000000,1876880,0,0.250000
2,168,0,37,0,1.000000,0,1.000000,1876880,0,0.250000
0,169,0,167,168,1.000000,0,1.000000,1876880,0,0.250000
2,170,0,40,0,1.000000,0,1.000000,1876880,0,0.250000
2,171,0,39,0,1.000000,0,1.000000,1876880,0,0.250000
0,172,0,170,171,1.000000,0,1.000000,1876880,0,0.250000
2,173,0,43,0,1.000000,0,1.000000,1876880,0,0.250000
2,174,0,42,0,1.000000,0,1.000000,1876880,0,0.250000
0,175,0,173,174,1.000000,0,1.000000,1876880,0,0.250000
2,176,0,45,0,1.000000,0,1.000000,1876880,0,0.250000
2,177,0,44,0,1.000000,0,1.000000,1876880,0,0.250000
0,178,0,176,177,1.000000,0,1.000000,1876880,0,0.250000
0,148,0,179,146,1.000000,0,1.000000,1876880,0,0.250000
2,179,0,0,0,1.000000,0,1.000000,1876880,0,0.250000
